,節,開催日,Team,awayTeam,homeScore,awayScore,H or A_x,AGI_x,KAGI_x,CBP_x,shot_x,shot acc_x,possession_x,ACBP_x,PassCBP_x,InterceptP_x,DP_x,H or A_y,AGI_y,KAGI_y,CBP_y,shot_y,shot acc_y,possession_y,ACBP_y,PassCBP_y,InterceptP_y,DP_y
0,1,2.27,広島,仙台,1,1,H,70,59,17.6%,19,5.3%,57.6%,23.4,19.6,83.02,10.45,A,41,30,6.1%,7,14.3%,42.4%,9.07,7.21,82.69,17.97
3,1,2.27,神戸,Ｇ大阪,1,0,H,12,51,6.3%,8,12.5%,58.2%,11.54,10.22,118.05,13.65,A,49,88,6.1%,8,0.0%,41.8%,12.28,10.08,101.88,12.44
8,1,2.27,大分,徳島,1,1,H,42,49,9.4%,10,10.0%,37.4%,8.78,6.79,93.51,18.91,A,51,58,12.6%,13,7.7%,62.6%,17.04,13.42,99.86,10.39
12,1,2.28,福岡,名古屋,1,2,H,50,41,3.3%,4,0.0%,50.5%,13.11,10.11,113.83,11.57,A,59,50,8.1%,10,20.0%,49.5%,13.29,10.12,105.37,14.75
13,1,2.26,川崎Ｆ,横浜FM,2,0,H,57,44,13.7%,18,11.1%,46.9%,15.98,14.3,139.34,13.68,A,56,43,8.2%,11,0.0%,53.1%,17.02,15.6,108.41,10.76
10,1,2.27,Ｃ大阪,柏,2,0,H,57,56,16.9%,20,10.0%,55.2%,18.87,12.12,94.3,11.08,A,44,43,9.7%,10,0.0%,44.8%,11.43,9.7,74.28,16.31
17,1,2.27,鹿島,清水,1,3,H,60,70,17.3%,23,4.3%,56.0%,20.28,16.3,129.83,10.57,A,30,40,6.6%,9,22.2%,44.0%,8.7,6.7,115.33,22.38
18,1,2.27,湘南,鳥栖,0,1,H,70,53,7.0%,9,0.0%,46.0%,13.09,10.28,122.23,10.96,A,47,30,7.8%,10,10.0%,54.0%,12.61,11.36,116.86,17.86
1,1,2.27,札幌,横浜FC,5,1,H,61,66,20.9%,23,21.7%,54.3%,24.11,18.98,131.07,11.56,A,34,39,3.3%,4,25.0%,45.7%,8.16,6.68,84.89,14.57
4,1,2.27,浦和,FC東京,1,1,H,57,47,8.6%,11,9.1%,58.7%,14.87,12.92,86.11,12.97,A,53,43,4.2%,5,20.0%,41.3%,8.16,8.05,121.59,17.13
38,2,3.6,鳥栖,浦和,2,0,H,48,55,13.2%,14,14.3%,52.1%,15.32,11.2,97.27,16.28,A,45,52,10.2%,11,0.0%,47.9%,11.56,9.29,90.81,10.35
34,2,3.6,横浜FC,大分,1,2,H,58,54,17.5%,21,4.8%,50.9%,16.37,11.67,97.15,9.95,A,46,42,6.0%,7,28.6%,49.1%,11.75,9.63,83.17,16.75
28,2,3.6,名古屋,札幌,1,0,H,44,49,9.2%,11,9.1%,45.7%,10.09,8.1,85.18,15.38,A,51,56,6.6%,8,0.0%,54.3%,15.23,13.46,102.32,9.16
31,2,3.6,仙台,川崎Ｆ,1,5,H,53,43,9.2%,13,7.7%,40.3%,13.14,10.71,144.98,13.15,A,57,47,11.7%,17,23.5%,59.7%,22.77,16.43,145.65,12.12
35,2,3.7,横浜FM,広島,3,3,H,59,52,10.7%,14,21.4%,65.4%,25.17,20.44,91.99,13.32,A,48,41,8.4%,11,27.3%,34.6%,8.08,4.95,117.21,22.68
20,2,3.6,徳島,神戸,1,1,H,48,59,9.3%,11,9.1%,40.2%,9.81,7.19,121.69,15.58,A,41,52,9.8%,12,8.3%,59.8%,14.91,11.64,121.86,13.62
21,2,3.6,清水,福岡,2,2,H,48,51,7.2%,8,25.0%,47.1%,10.44,8.6,71.83,15.85,A,49,52,7.8%,9,22.2%,52.9%,11.91,10.9,84.85,11.43
22,2,7.24,Ｇ大阪,鹿島,0,1,H,38,31,7.8%,8,0.0%,47.9%,11.02,8.87,55.5,17.46,A,69,62,20.0%,22,4.5%,52.1%,21.88,18.27,70.12,10.01
30,2,3.6,FC東京,Ｃ大阪,3,2,H,60,51,16.8%,22,13.6%,48.1%,14.42,12.23,97.96,14.05,A,49,40,7.3%,9,22.2%,51.9%,11.43,9.79,82.29,12.74
37,2,3.6,柏,湘南,2,1,H,50,47,6.3%,8,25.0%,49.7%,12.28,9.65,112.54,19.11,A,53,50,8.3%,12,8.3%,50.3%,13.78,11.44,101.27,14.46
51,3,3.1,浦和,横浜FC,2,0,H,39,49,9.0%,9,22.2%,51.9%,15.03,11.07,79.64,17.01,A,51,61,13.7%,14,0.0%,48.1%,14.43,11.77,106.32,8.63
53,3,3.1,鳥栖,仙台,5,0,H,41,50,17.5%,18,27.8%,55.4%,16.26,13.96,96.34,15.16,A,50,59,10.9%,13,0.0%,44.6%,18.01,11.99,99.41,12.62
54,3,3.1,福岡,横浜FM,1,3,H,59,37,10.4%,14,7.1%,37.0%,9.1,7.33,100.9,12.49,A,63,41,10.0%,13,23.1%,63.0%,19.27,16.07,102.75,11.58
43,3,3.1,鹿島,湘南,3,1,H,66,73,14.2%,20,15.0%,60.3%,22.01,18.35,138.49,9.73,A,27,34,4.7%,6,16.7%,39.7%,9.57,8.31,104.99,19.94
56,3,3.1,Ｃ大阪,清水,2,1,H,52,56,10.4%,11,18.2%,49.0%,15.78,11.41,77.22,11.51,A,44,48,14.1%,14,7.1%,51.0%,14.44,10.96,76.43,15.3
55,3,3.1,柏,名古屋,0,1,H,49,54,6.8%,10,0.0%,50.3%,13.23,11.82,145.25,13.68,A,46,51,6.8%,10,10.0%,49.7%,8.83,7.55,131.6,16.48
50,3,7.27,Ｇ大阪,大分,2,1,H,66,74,18.6%,18,11.1%,52.4%,28.01,20.24,72.99,7.41,A,26,34,5.9%,6,16.7%,47.6%,10.0,8.83,71.4,21.87
47,3,3.1,FC東京,神戸,2,3,H,57,62,13.5%,18,11.1%,39.8%,14.17,10.61,88.45,13.25,A,38,43,8.7%,11,27.3%,60.2%,13.59,12.02,93.82,14.11
49,3,3.1,川崎Ｆ,徳島,2,0,H,59,71,16.2%,18,11.1%,49.2%,18.99,16.9,128.76,7.54,A,29,41,1.9%,2,0.0%,50.8%,10.65,9.95,82.4,11.12
57,3,3.1,広島,札幌,2,1,H,59,47,11.2%,13,15.4%,39.8%,12.95,10.86,78.4,16.11,A,53,41,17.8%,21,4.8%,60.2%,20.3,15.49,83.07,12.25
70,4,3.13,川崎Ｆ,柏,1,0,H,50,55,10.2%,14,7.1%,57.8%,20.39,16.04,105.05,17.13,A,45,50,5.3%,7,0.0%,42.2%,11.0,8.35,123.31,10.34
64,4,7.3,札幌,Ｇ大阪,0,2,H,55,53,12.4%,16,0.0%,57.6%,19.74,16.08,117.42,9.43,A,47,45,5.7%,7,28.6%,42.4%,9.14,6.6,109.61,21.81
65,4,3.13,湘南,仙台,3,1,H,58,47,9.2%,11,27.3%,41.8%,10.93,8.14,104.3,14.63,A,53,42,11.8%,16,6.3%,58.2%,18.47,15.54,97.06,14.4
67,4,3.14,清水,鳥栖,0,0,H,34,59,4.9%,4,0.0%,33.9%,7.24,6.88,49.92,11.24,A,41,66,17.6%,16,0.0%,66.1%,19.62,17.64,82.58,8.13
68,4,3.13,横浜FC,Ｃ大阪,1,4,H,57,39,8.7%,11,9.1%,49.1%,12.13,8.71,88.29,12.86,A,61,43,13.7%,18,22.2%,50.9%,15.12,11.88,90.5,16.4
79,4,3.14,大分,FC東京,1,1,H,34,45,9.5%,10,10.0%,55.8%,12.53,10.37,66.68,17.62,A,55,66,9.7%,11,9.1%,44.2%,14.76,10.93,97.66,10.86
75,4,3.13,神戸,名古屋,0,1,H,36,70,9.3%,10,0.0%,63.8%,17.52,15.08,110.18,8.37,A,30,64,5.9%,7,14.3%,36.2%,5.72,5.1,96.39,14.54
78,4,3.14,横浜FM,浦和,3,0,H,56,65,17.9%,21,14.3%,46.3%,20.04,17.2,129.74,14.12,A,35,44,6.4%,8,0.0%,53.7%,13.69,11.95,113.66,10.11
72,4,3.13,鹿島,広島,1,1,H,63,55,17.1%,24,4.2%,59.3%,21.9,18.4,107.4,15.79,A,45,37,4.7%,6,16.7%,40.7%,11.56,9.66,87.44,20.29
62,4,3.13,徳島,福岡,1,2,H,45,51,9.9%,11,9.1%,61.2%,13.32,11.12,57.8,12.84,A,49,55,9.0%,9,22.2%,38.8%,11.6,9.8,85.18,15.02
95,5,3.17,浦和,札幌,0,0,H,45,44,10.5%,11,0.0%,41.5%,10.02,7.32,102.08,23.38,A,56,55,16.9%,20,0.0%,58.5%,22.35,16.58,120.84,9.72
94,5,3.17,広島,清水,1,0,H,53,69,10.9%,11,9.1%,52.8%,19.21,15.89,77.48,13.52,A,31,47,5.1%,5,0.0%,47.2%,12.69,10.59,78.12,13.21
96,5,3.17,名古屋,横浜FC,3,0,H,44,52,11.8%,12,25.0%,55.3%,16.7,11.81,99.76,11.38,A,48,56,5.8%,6,0.0%,44.7%,14.55,11.69,89.95,11.42
98,5,3.17,横浜FM,徳島,1,0,H,56,51,6.3%,9,11.1%,53.7%,17.07,14.14,129.22,13.48,A,49,44,8.8%,12,0.0%,46.3%,10.98,10.09,129.03,12.92
